id,area,pagina,carpeta_origen,titulo,descripcion,tipo,archivo_origen,estado,prioridad,es_duplicado,duplicado_de
38,Dirección de Investigación,Menú / Navegación,5 - DIRECCION DE INVESTIGACION,"En el menú principal de navegación de la página web institucional, ubicado en la parte superior, se …","En el menú principal de navegación de la página web institucional, ubicado en la parte superior, se identifica la sección correspondiente a la Dirección de Investigación bajo la denominación “Innovación”. Esta denominación no permite identificar de manera directa y precisa que dicha sección corresponde a las actividades, servicios, proyectos y contenidos relacionados con la Dirección de Investigación de la Universidad. Imagen referencial: Imagen 01. Secciones del menú principal donde destaca “Innovación”",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
39,Dirección de Investigación,Menú / Navegación,5 - DIRECCION DE INVESTIGACION,en la sección de Investigación Solución propuesta: Modificar la denominación “Innovación” por “Inves…,en la sección de Investigación Solución propuesta: Modificar la denominación “Innovación” por “Investigación”,observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
40,Dirección de Investigación,Menú / Navegación,5 - DIRECCION DE INVESTIGACION,"en el menú principal de la página web institucional, de manera que el acceso correspondiente a la Di…","en el menú principal de la página web institucional, de manera que el acceso correspondiente a la Dirección de Investigación sea identificado directamente con el término “Investigación”. Justificación: Este cambio permitirá que los usuarios, especialmente docentes, estudiantes, investigadores y visitantes externos, puedan ubicar de manera rápida e intuitiva la información relacionada con investigación, evitando confusiones respecto al contenido de la sección y diferenciándola de otros temas o servicios institucionales vinculados específicamente con innovación. Nombre sugerido para el menú: INVESTIGACIÓN Actualización del contenido de presentación de la Dirección de Investigación",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
41,Dirección de Investigación,Menú / Navegación,5 - DIRECCION DE INVESTIGACION,"Al ingresar a la sección correspondiente a la Dirección de Investigación, actualmente se presenta el…","Al ingresar a la sección correspondiente a la Dirección de Investigación, actualmente se presenta el contenido denominado “Promoción del deporte y actividad física”, acompañado de una descripción relacionada con dicha temática. Este contenido no guarda correspondencia con las funciones, objetivos y actividades de la Dirección de Investigación, generando una inconsistencia entre la sección seleccionada y la información que se muestra al usuario. Asimismo, la denominación y descripción actual pueden generar confusión respecto al propósito de esta sección, debido a que el contenido mostrado no permite identificar las principales actividades vinculadas con la investigación, innovación, generación de conocimiento y desarrollo científico de la UPRIT. Imagen referencial: Imagen 02. Contenido actualmente mostrado al ingresar a la sección de la Dirección de Investigación, donde se observa la denominación “Promoción del deporte y actividad física”. | Solución propuesta: Se propone",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
42,Dirección de Investigación,Menú / Navegación,5 - DIRECCION DE INVESTIGACION,reemplazar íntegramente el contenido actual de “Promoción del deporte y actividad física” por un con…,"reemplazar íntegramente el contenido actual de “Promoción del deporte y actividad física” por un contenido institucional que represente adecuadamente a la Dirección de Investigación. right302260Ciencia e Innovación para un Futuro Sostenible En la UPRIT promovemos una cultura de investigación, innovación y emprendimiento científico que integra a estudiantes, docentes y aliados estratégicos para desarrollar proyectos multidisciplinarios, generar nuevo conocimiento y contribuir al desarrollo sostenible de la región y del país. 00Ciencia e Innovación para un Futuro Sostenible En la UPRIT promovemos una cultura de investigación, innovación y emprendimiento científico que integra a estudiantes, docentes y aliados estratégicos para desarrollar proyectos multidisciplinarios, generar nuevo conocimiento y contribuir al desarrollo sostenible de la región y del país. Se propone utilizar la siguiente denominación y descripción: Justificación: La actualización permitirá que el contenido presentado al ingresar a la sección sea coherente con la naturaleza y finalidad de la Dirección de Investigación, brindando al usuario una primera aproximación clara sobre el rol que cumple el área dentro de la Universidad. Asimismo, el nuevo contenido permite comunicar de manera resumida los principales componentes que orientan la actividad investigativa de la UPRIT: investigación, innovación, emprendimiento científico, participación de estudiantes y docentes, colaboración con aliados estratégicos, generación de conocimiento y contribución al desarrollo sostenible. Actualización y ordenamiento de la información del equipo de la Dirección de Investigación",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
43,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,"En el apartado correspondiente al equipo de la Dirección de Investigación, se requiere mejorar la or…","En el apartado correspondiente al equipo de la Dirección de Investigación, se requiere mejorar la organización y presentación de la información de sus integrantes, de manera que permita identificar claramente la estructura del equipo y la función que desempeña cada uno de sus miembros. Asimismo, se advierte la necesidad de",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
44,Dirección de Investigación,Página principal / Home,5 - DIRECCION DE INVESTIGACION,"actualizar la información académica de los integrantes, incorporando sus respectivos grados académic…","actualizar la información académica de los integrantes, incorporando sus respectivos grados académicos y procurando que la presentación mantenga un orden institucional uniforme. Imagen referencial: Imagen 03. Presentación actual del equipo de la Dirección de Investigación en la página web institucional. Solución propuesta: Reorganizar la presentación del equipo de la Dirección de Investigación siguiendo el siguiente orden: Director de Investigación. Coordinadora de Control de Proyectos. Docentes Investigadores, considerando dentro de este grupo el orden de mujeres y hombres. Asimismo,",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
45,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,incorporar los grados académicos correspondientes de cada integrante y,incorporar los grados académicos correspondientes de cada integrante y,observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
46,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,actualizar la información académica que se presenta en la página web. Para el caso del Director de I…,"actualizar la información académica que se presenta en la página web. Para el caso del Director de Investigación y demás miembros, se sugiere presentar su información considerando el grado académico correspondiente, por ejemplo: Dr. Marco Antonio Sevilla Gamarra. Dra. Olenka Ana Catherine Espinoza Rodriguez Dra. Mirtha Zulema Armas Chang (A excepción de Charlen Máximo Calero Huamán (Mg), todos los demás tienen condición de Doctor), etc. Justificación: La reorganización permitirá presentar de manera clara y ordenada la estructura del equipo de la Dirección de Investigación, facilitando a los usuarios la identificación de sus autoridades, coordinadores y docentes investigadores. Asimismo, la actualización de los grados académicos contribuirá a fortalecer la presentación institucional del equipo y permitirá que la información publicada en la página web se encuentre acorde con el perfil académico de sus integrantes. Modificación de la denominación “Nuestros principios de investigación”",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
47,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,en la sección de la Dirección de Investigación,en la sección de la Dirección de Investigación,observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
48,Dirección de Investigación,Página principal / Home,5 - DIRECCION DE INVESTIGACION,"En la sección correspondiente a la Dirección de Investigación de la página web institucional, se ide…","En la sección correspondiente a la Dirección de Investigación de la página web institucional, se identifica actualmente un apartado denominado “Nuestros principios de investigación”. Se considera necesario",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
49,Dirección de Investigación,Página principal / Home,5 - DIRECCION DE INVESTIGACION,"actualizar esta denominación por “Ejes Estratégicos de la Investigación”, de manera que el contenido…","actualizar esta denominación por “Ejes Estratégicos de la Investigación”, de manera que el contenido presentado en este apartado permita comunicar los principales ejes que orientan y articulan las actividades de investigación de la Dirección de Investigación. Cabe precisar que esta modificación deberá aplicarse únicamente dentro de la sección “Dirección de Investigación”, sin extenderse a otras secciones de la página institucional, como “Centros de Investigación”, debido a que dichas secciones pueden contar con principios, enfoques o contenidos propios. Imagen referencial: Imagen 08. Apartado “Nuestros principios de investigación” ubicado dentro de la sección “Dirección de Investigación” de la página web institucional. Solución propuesta: Modificar, exclusivamente",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
50,Dirección de Investigación,Investigación,5 - DIRECCION DE INVESTIGACION,"en la sección “Dirección de Investigación”, la denominación “Nuestros principios de investigación” p…","en la sección “Dirección de Investigación”, la denominación “Nuestros principios de investigación” por: “EJES ESTRATÉGICOS DE LA INVESTIGACIÓN” En este apartado se propone",observación,5 - DIRECCION DE INVESTIGACION/OBSERVACIONES UPRIT - DIRECCIÓN DE INVESTIGACIÓN.docx,pendiente,media,False,
